"# of Use","使用次數"
"%1$s incl tax.","%1$s 含稅"
"%s - %s","%s - %s"
"%s Item(s)","%s 個項目"
"%s and above","%s 以上"
"Special Price: %s","特價: %s"
"Starting at:","起價："
"Static","固定"
"Static block and products","固定區塊和產品"
"Static block only","僅固定區塊"
"Status","狀態"
"Stock Availability","庫存情況"
"Store","商店"
"Store View","商店介面"
"Stretch","伸展"
"Subscribe to RSS Feed","訂閱 RSS Feed"
"Super product attributes configuration","進階產品屬性設定"
"Synonym For","同義"
"System Properties","系統屬性"
"Tag Name","標籤名"
"Tax","稅"
"Template","樣板"
"Text","文字"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","平面分類模塊被限制為 %2\$d 個篩選器和/或可排序屬性。目前已經使用了 %1\$d 個。為了使用該模塊，請減少所用篩選器/排序屬性的數量"
"The From Date value should be less than or equal to the To Date value.","開始日期必須小於或等於結束日期"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","屬性代碼 \'%s\' 是系統保留字，請改用其他代碼"
"The attribute model is not defined","屬性模型尚未定義"
"The attribute set has been saved.","屬性集合已經儲存"
"The base directory to upload file is not specified.","未指定上傳檔案的基礎目錄"
"The category has been deleted.","該目錄已經刪除"
"The category has been saved.","該目錄已經儲存"
"The comparison list was cleared.","比較產品被清空"
"The file '%s' for '%s' has an invalid extension","檔案 '%s' 為 '%s' 後綴不允許"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","您所上傳的檔案 '%s' 大於伺服器所允許的 %s M"
"The file you uploaded is larger than %s Megabytes allowed by server","您所上傳的檔案超過了伺服器允許的 %s M"
"The filters must be an array.","過濾器必須是陣列"
"The image contents is not valid base64 data.","圖片不是允許的 base64 資料"
"The image is not specified.","未指定圖片"
"The model collection resource name is not defined.","這個型號集合資源名稱未定義"
"The product %s has been added to comparison list.","產品 %s 已經加入到比較產品"
"The product %s has been removed from comparison list.","產品 %s 已經從比較產品移除"
"The product attribute has been deleted.","產品屬性已經刪除"
"The product attribute has been saved.","產品屬性已經儲存"
"The product has been created.","產品已經建立"
"The product has been deleted.","產品已經刪除"
"The product has been duplicated.","產品已經複製"
"The product has been saved.","產品已經儲存"
"The product has required options","該產品具有要求的選項"
"The review has been deleted","評論已經刪除"
"The review has been saved.","評論已經儲存"
"The review was removed by another user or does not exist.","評論已經被其他會員刪除或不存在"
"The search was deleted.","搜尋已經刪除"
"The text is too long","文字太長"
"There are no %s available.","沒有%s可用"
"There are no customers for this alert","該提醒沒有客戶"
"There are no customers for this alert.","該提醒沒有客戶"
"There are no products matching the selection.","這個分類沒有符合的產品"
"There was an error while request processing.","請求處理時發生錯誤"
"This Attribute no longer exists","該屬性已不存在"
"This attribute cannot be deleted.","該屬性不能刪除"
"This attribute cannot be edited.","該屬性不能編輯"
"This attribute cannot be updated.","該屬性不能更新"
"This attribute is used in configurable products.","這個屬性被用在客製化產品"
"This attribute is used in configurable products. You cannot remove it from the attribute set.","此屬性已用於客製化產品上，您不能從屬性集中刪除它"
"This attribute no longer exists","該屬性不存在"
"This attribute set no longer exists.","該屬性集合已經不存在"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","該屬性集合包含可配置產品所使用屬性。請將這些屬性移到另外的屬性集合再試"
"This group contains system attributes. Please move system attributes to another group and try again.","該屬性集合包含系統屬性。請將系統屬性移到另外一個組後再試"
"This is a required option","此為必選項目"
"This product no longer exists.","該產品已不存在"
"This search no longer exists.","該搜尋已不存在"
"This setting will be applied when all prices in the specific price interval are equal.","在指定價格間隔的所有價格相同時會套用這個設定"
"Tier Pricing","分級價格"
"Tile","排列"
"Time Format","時間格式"
"Title","標題"
"To reindex the enabled product(s), the store or product must be specified","要對已啟用的產品重新索引，必須指定商店或產品"
"To see product price, add this item to your cart. You can always remove it later.","要檢視產品價格，請將它加入購物車。您隨時可以從購物車將它移除。"
"Top/Left","左上"
"Top/Right","右上"
"Total Qty Base Items","Base 記錄總數"
"Total incl. Tax: %1$s","稅總額： %1$s"
"Total of %d record(s) have been deleted.","共有 %d 筆資料被刪除"
"Total of %d record(s) have been updated.","共有 %d 筆資料被更新"
"Total of %d record(s) were updated","共有 %d 筆資料被更新"
"Type","類型"
"URL Rewrite Management","替代網址管理"
"Unable to complete this request.","無法完成請求"
"Unable to find a search term to delete.","沒有找到要刪除的搜尋關鍵字"
"Unable to find an attribute to delete.","沒有找到要刪除的屬性"
"Unable to get the product ID.","無法取得產品編號"
"Unassigned Attributes","未指定的屬性"
"Unknown EAV indexer type ""%s"".","未知 EAV 索引類型 ""%s"""
"Unknown attribute: %s.","未知屬性： %s"
"Unsupported product type ""%s"".","不支援產品類型 ""%s"""
"Up-sells","推薦銷售"
"Update","更新"
"Update Attributes","更新屬性"
"Update Tier Price","更新分層價格"
"Update assigned product","更新指定產品"
"Update attribute","更新屬性"
"Update attributes","更新屬性"
"Update category","更新分類"
"Update custom option of product","更新產品自訂選項"
"Update product","更新產品"
"Update product image","更新產品圖片"
"Update product link","更新產品連接"
"Update product tier prices","更新產品分級價格"
"Update value of custom option","更新自訂選項的數值"
"Upload new product image ","上傳新的產品圖片"
"Use Canonical Link Meta Tag For Categories","為分類使用標準連結元標籤"
"Use Canonical Link Meta Tag For Products","為產品使用標準連結元標籤"
"Use Categories Path for Product URLs","使用分類路徑作為產品 URLs"
"Use Config Settings","使用預設值"
"Use Default Value","使用預設值"
"Use Flat Catalog Category","使用平面目錄分類"
"Use Flat Catalog Product","使用平面產品上當"
"Use In Layered Navigation","用於分層導覽"
"Use In Search Results Layered Navigation","用於分層導覽搜尋結果"
"Use JavaScript Calendar","使用 JavaScript 日曆"
"Use Static URLs for Media Content in WYSIWYG for Catalog","在產品目錄媒體內容的所見即所得編輯器使用靜態URL"
"Use To Create Configurable Product","用於建立可配置產品"
"Use Tree Like Category Sitemap","使用樹狀分類網站圖"
"Use config","使用設定"
"Use default","使用預設"
"Use for Promo Rule Conditions","用在促銷規則條件"
"Use four-digit year format.","使用 4碼 年份格式"
"Use in Advanced Search","用於進階搜尋"
"Use in Layered Navigation","用於分階層導覽"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用於分級導覽<br/>(僅用於目錄輸入類型'下拉選單')"
"Use in Quick Search","用於快速搜尋"
"Used for Sorting in Product Listing","用作產品列表排序"
"Used in Product Listing","用在產品列表中"
"Value for ""%s"" is invalid."," ""%s"" 的值有誤"
"Value for ""%s"" is invalid: %s"," ""%s"" 的值有誤： %s"
"Varchar","變數"
"View as","瀏覽方式"
"Virtual Product","虛擬產品"
"Visibility","可見性"
"Visible","可見"
"Visible on Catalog Pages on Front-end","在前台目錄頁面可見"
"Visible on Product View Page on Front-end","前台產品頁可見"
"WYSIWYG Editor","所見即所得編輯器"
"Watermark","浮水印"
"Watermark Default Size","浮水印預設大小"
"Watermark Opacity, Percent","浮浮水印透明度百分比"
"Watermark Position","浮水印位置"
"We Also Recommend","我們同時推薦"
"Website","網站"
"Websites","網站"
"What's this?","這是什麼？"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","是否顯示全部中的顯示每頁X的下拉選項"
"Will make search for the query above return results for this search.","會讓上面的搜尋傳回這個查詢結果"
"Wrong BuyRequest instance in options group.","選項組中錯誤的購買請求例子"
"Wrong configuration item instance in options group.","選項組中錯誤的設定項目實例"
"Wrong configuration item option instance in options group.","選項組中錯誤的設定項目選項實例"
"Wrong option instance type in options group.","選項組中錯誤的事例類型"
"Wrong option type to get group instance.","用錯誤的選項類型取得組實例"
"Wrong product instance type in options group.","選項組中錯誤的產品實例"
"Wrong product type filter specified","指定錯誤的產品類型過濾"
"Wrong product type to extract configurable options.","用錯誤的產品類型釋放客製選項"
"Year Range","年時間範圍"
"Yes","是"
"You cannot remove system attribute from this set.","不能從改組合中刪除系統屬性"
"You have no items to compare.","沒有要比較的產品"
"You may also be interested in the following product(s)","您也許會喜歡下面的產品"
"Zoom In","放大"
"Zoom Out","縮小"
"and","和"
"and above","及以上"
"categories","分類"
"each","每個"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","如果不是圖片請空白"
"per page","每頁"
"products","產品"
"px.","像素"
"save","儲存"
"select all","全選"
"unselect all","取消全選"
"x","x"
